Participant_ID,Name,Email,College,State,Domain,Day,Feedback
1,Priya Patil,priya598@outlook.com,NIT Karnataka,Kerala,Cybersecurity,Day 1,The sessions were not relevant to my interests.
2,Rahul Nair,rahul888@outlook.com,IIT Madras,Maharashtra,Cybersecurity,Day 2,"The venue was not suitable for the event, very uncomfortable."
3,Vihaan Das,vihaan877@outlook.com,IIT Madras,Kerala,IoT,Day 1,Networking was amazing!
4,Rohan Singh,rohan466@yahoo.com,Anna University,Maharashtra,Cybersecurity,Day 1,"It was fine, but not very engaging."
5,Rahul Das,rahul602@yahoo.com,NIT Karnataka,Kerala,Web Development,Day 1,"Event was decent, but nothing extraordinary."
6,Vihaan Patil,vihaan763@yahoo.com,BITS Pilani,Maharashtra,IoT,Day 1,"I didn't learn much, felt like a waste of time."
7,Ishaan Patil,ishaan373@yahoo.com,VIT Vellore,Telangana,Blockchain,Day 3,"Didn't enjoy the event at all, poorly organized."
8,Rahul Reddy,rahul821@gmail.com,BITS Pilani,Karnataka,Web Development,Day 2,The sessions were not relevant to my interests.
9,Neha Patil,neha521@yahoo.com,NIT Karnataka,Kerala,Web Development,Day 3,"It was fine, but not very engaging."
10,Kiran Patil,kiran581@outlook.com,NIT Karnataka,Kerala,AI & ML,Day 3,I expected more from the workshops.
11,Kiran Verma,kiran561@gmail.com,Anna University,Kerala,Cybersecurity,Day 1,"The event was okay, could have been better."
12,Rohan Nair,rohan120@yahoo.com,Anna University,Telangana,Web Development,Day 3,"It was fine, but not very engaging."
13,Neha Sharma,neha896@gmail.com,VIT Vellore,Kerala,Cybersecurity,Day 2,Would love more hands-on sessions.
14,Vihaan Reddy,vihaan948@gmail.com,IIT Madras,Kerala,AI & ML,Day 2,Great experience! Learned a lot.
15,Ishaan Verma,ishaan476@gmail.com,IIT Madras,Kerala,Web Development,Day 3,"It was fine, but not very engaging."
16,Sanya Patil,sanya495@yahoo.com,VIT Vellore,Telangana,Web Development,Day 1,Great experience! Learned a lot.
17,Rohan Verma,rohan477@outlook.com,VIT Vellore,Telangana,IoT,Day 1,I expected more from the workshops.
18,Ishaan Das,ishaan795@outlook.com,VIT Vellore,Maharashtra,AI & ML,Day 3,"Didn't enjoy the event at all, poorly organized."
19,Sanya Das,sanya957@gmail.com,VIT Vellore,Karnataka,Cybersecurity,Day 3,Would love more hands-on sessions.
20,Rahul Gupta,rahul701@outlook.com,BITS Pilani,Maharashtra,Cybersecurity,Day 3,"Didn't enjoy the event at all, poorly organized."
21,Aarav Das,aarav260@outlook.com,NIT Karnataka,Kerala,Web Development,Day 1,Loved the mentors and project guidance.
22,Sanya Gupta,sanya505@yahoo.com,IIT Madras,Telangana,Cybersecurity,Day 1,"Fantastic event, would participate again."
23,Rohan Joshi,rohan380@yahoo.com,BITS Pilani,Telangana,AI & ML,Day 2,Loved the mentors and project guidance.
24,Rahul Singh,rahul867@gmail.com,Anna University,Maharashtra,Web Development,Day 1,"I didn't learn much, felt like a waste of time."
25,Rahul Gupta,rahul296@gmail.com,IIT Madras,Karnataka,Blockchain,Day 1,"Didn't enjoy the event at all, poorly organized."
26,Aarav Iyer,aarav631@yahoo.com,BITS Pilani,Telangana,IoT,Day 3,"Event was decent, but nothing extraordinary."
27,Kiran Nair,kiran672@outlook.com,Anna University,Tamil Nadu,IoT,Day 2,"The event was okay, could have been better."
28,Kiran Reddy,kiran759@yahoo.com,IIT Madras,Telangana,Web Development,Day 3,"Fantastic event, would participate again."
29,Priya Singh,priya919@gmail.com,NIT Karnataka,Karnataka,Cybersecurity,Day 3,I expected more from the workshops.
30,Rohan Joshi,rohan254@gmail.com,VIT Vellore,Maharashtra,IoT,Day 1,The sessions were not relevant to my interests.
31,Rahul Gupta,rahul108@outlook.com,BITS Pilani,Telangana,Cybersecurity,Day 3,"I didn't learn much, felt like a waste of time."
32,Rohan Das,rohan979@yahoo.com,BITS Pilani,Karnataka,AI & ML,Day 3,"Didn't enjoy the event at all, poorly organized."
33,Kiran Singh,kiran310@gmail.com,NIT Karnataka,Tamil Nadu,Cybersecurity,Day 3,Great experience! Learned a lot.
34,Vihaan Joshi,vihaan688@yahoo.com,VIT Vellore,Karnataka,Blockchain,Day 1,Great experience! Learned a lot.
35,Aarav Das,aarav902@outlook.com,Anna University,Telangana,IoT,Day 1,Networking was amazing!
36,Vihaan Patil,vihaan923@outlook.com,VIT Vellore,Telangana,IoT,Day 2,"I didn't learn much, felt like a waste of time."
37,Neha Joshi,neha735@outlook.com,NIT Karnataka,Kerala,Blockchain,Day 3,"Event was decent, but nothing extraordinary."
38,Rohan Verma,rohan235@gmail.com,IIT Madras,Maharashtra,Web Development,Day 2,Would love more hands-on sessions.
39,Priya Das,priya361@yahoo.com,IIT Madras,Telangana,Blockchain,Day 1,"Event was decent, but nothing extraordinary."
40,Priya Reddy,priya257@gmail.com,NIT Karnataka,Tamil Nadu,Cybersecurity,Day 2,Would love more hands-on sessions.
41,Vihaan Joshi,vihaan119@gmail.com,Anna University,Karnataka,Blockchain,Day 2,"It was fine, but not very engaging."
42,Priya Patil,priya570@gmail.com,Anna University,Telangana,Blockchain,Day 1,The event was too fast-paced and overwhelming.
43,Vihaan Joshi,vihaan989@yahoo.com,NIT Karnataka,Maharashtra,IoT,Day 1,The sessions were informative but could be more detailed.
44,Neha Sharma,neha365@gmail.com,IIT Madras,Tamil Nadu,AI & ML,Day 2,"Didn't enjoy the event at all, poorly organized."
45,Ananya Gupta,ananya748@gmail.com,NIT Karnataka,Telangana,Cybersecurity,Day 2,Loved the mentors and project guidance.
46,Rahul Reddy,rahul715@outlook.com,IIT Madras,Karnataka,IoT,Day 1,"I didn't learn much, felt like a waste of time."
47,Rahul Iyer,rahul371@yahoo.com,VIT Vellore,Telangana,Web Development,Day 3,Loved the mentors and project guidance.
48,Priya Nair,priya341@gmail.com,BITS Pilani,Kerala,Cybersecurity,Day 1,"The venue was not suitable for the event, very uncomfortable."
49,Rohan Joshi,rohan816@gmail.com,BITS Pilani,Telangana,IoT,Day 2,"Event was decent, but nothing extraordinary."
50,Kiran Singh,kiran724@yahoo.com,BITS Pilani,Tamil Nadu,Web Development,Day 3,I expected more from the workshops.
51,Rohan Patil,rohan824@gmail.com,BITS Pilani,Karnataka,Web Development,Day 2,Loved the mentors and project guidance.
52,Rahul Iyer,rahul310@yahoo.com,IIT Madras,Tamil Nadu,AI & ML,Day 1,Great experience! Learned a lot.
53,Rahul Singh,rahul973@gmail.com,IIT Madras,Tamil Nadu,Web Development,Day 1,"It was fine, but not very engaging."
54,Ishaan Iyer,ishaan277@gmail.com,BITS Pilani,Karnataka,AI & ML,Day 2,Loved the mentors and project guidance.
55,Neha Singh,neha974@outlook.com,IIT Madras,Karnataka,Cybersecurity,Day 2,Would love more hands-on sessions.
56,Rohan Iyer,rohan703@outlook.com,Anna University,Kerala,Blockchain,Day 3,"Event was decent, but nothing extraordinary."
57,Rohan Reddy,rohan269@yahoo.com,IIT Madras,Telangana,Blockchain,Day 2,Networking was amazing!
58,Priya Sharma,priya981@gmail.com,NIT Karnataka,Karnataka,Cybersecurity,Day 2,Would love more hands-on sessions.
59,Sanya Patil,sanya977@yahoo.com,NIT Karnataka,Maharashtra,Cybersecurity,Day 3,"Event was decent, but nothing extraordinary."
60,Sanya Iyer,sanya775@yahoo.com,Anna University,Kerala,Cybersecurity,Day 1,Loved the mentors and project guidance.
61,Priya Iyer,priya402@yahoo.com,Anna University,Karnataka,Cybersecurity,Day 3,I expected more from the workshops.
62,Kiran Sharma,kiran587@gmail.com,NIT Karnataka,Telangana,Cybersecurity,Day 3,The sessions were informative but could be more detailed.
63,Neha Patil,neha224@outlook.com,BITS Pilani,Karnataka,AI & ML,Day 2,"The event was okay, could have been better."
64,Rohan Verma,rohan555@outlook.com,NIT Karnataka,Karnataka,AI & ML,Day 1,Would love more hands-on sessions.
65,Priya Gupta,priya798@outlook.com,BITS Pilani,Maharashtra,AI & ML,Day 1,Would love more hands-on sessions.
66,Ishaan Joshi,ishaan675@outlook.com,Anna University,Tamil Nadu,Web Development,Day 2,The sessions were informative but could be more detailed.
67,Vihaan Singh,vihaan215@outlook.com,VIT Vellore,Kerala,Blockchain,Day 1,"Fantastic event, would participate again."
68,Rahul Das,rahul535@yahoo.com,IIT Madras,Telangana,Blockchain,Day 3,"I didn't learn much, felt like a waste of time."
69,Neha Verma,neha591@gmail.com,VIT Vellore,Karnataka,IoT,Day 2,"I didn't learn much, felt like a waste of time."
70,Kiran Nair,kiran310@yahoo.com,NIT Karnataka,Maharashtra,AI & ML,Day 1,Loved the mentors and project guidance.
71,Rahul Nair,rahul353@outlook.com,NIT Karnataka,Telangana,Blockchain,Day 3,Great experience! Learned a lot.
72,Rohan Gupta,rohan263@gmail.com,IIT Madras,Telangana,AI & ML,Day 2,"It was fine, but not very engaging."
73,Priya Patil,priya134@gmail.com,NIT Karnataka,Telangana,IoT,Day 2,"I didn't learn much, felt like a waste of time."
74,Vihaan Verma,vihaan494@outlook.com,Anna University,Karnataka,IoT,Day 2,The event was too fast-paced and overwhelming.
75,Rohan Verma,rohan341@outlook.com,VIT Vellore,Karnataka,Cybersecurity,Day 1,Loved the mentors and project guidance.
76,Vihaan Iyer,vihaan832@outlook.com,IIT Madras,Karnataka,Web Development,Day 2,Loved the mentors and project guidance.
77,Rohan Patil,rohan956@yahoo.com,Anna University,Karnataka,Cybersecurity,Day 3,"Fantastic event, would participate again."
78,Rohan Patil,rohan521@yahoo.com,IIT Madras,Kerala,Cybersecurity,Day 3,The sessions were informative but could be more detailed.
79,Aarav Singh,aarav727@outlook.com,VIT Vellore,Tamil Nadu,Cybersecurity,Day 2,The sessions were not relevant to my interests.
80,Rahul Reddy,rahul555@outlook.com,BITS Pilani,Tamil Nadu,AI & ML,Day 3,The sessions were informative but could be more detailed.
81,Rohan Gupta,rohan368@gmail.com,BITS Pilani,Tamil Nadu,IoT,Day 1,"It was fine, but not very engaging."
82,Vihaan Iyer,vihaan941@yahoo.com,NIT Karnataka,Maharashtra,Cybersecurity,Day 2,"It was fine, but not very engaging."
83,Ananya Joshi,ananya815@gmail.com,IIT Madras,Kerala,Blockchain,Day 2,Loved the mentors and project guidance.
84,Rahul Patil,rahul623@gmail.com,Anna University,Karnataka,AI & ML,Day 2,Loved the mentors and project guidance.
85,Rahul Reddy,rahul904@gmail.com,VIT Vellore,Maharashtra,Cybersecurity,Day 3,Loved the mentors and project guidance.
86,Vihaan Iyer,vihaan839@yahoo.com,IIT Madras,Maharashtra,Web Development,Day 1,"It was fine, but not very engaging."
87,Neha Joshi,neha717@yahoo.com,IIT Madras,Karnataka,AI & ML,Day 2,"The event was okay, could have been better."
88,Ishaan Nair,ishaan963@gmail.com,NIT Karnataka,Karnataka,IoT,Day 3,The sessions were not relevant to my interests.
89,Priya Verma,priya909@outlook.com,Anna University,Maharashtra,Cybersecurity,Day 3,I expected more from the workshops.
90,Vihaan Patil,vihaan857@outlook.com,NIT Karnataka,Tamil Nadu,AI & ML,Day 3,"I didn't learn much, felt like a waste of time."
91,Aarav Iyer,aarav293@yahoo.com,Anna University,Tamil Nadu,Cybersecurity,Day 1,The sessions were informative but could be more detailed.
92,Kiran Joshi,kiran258@yahoo.com,VIT Vellore,Kerala,AI & ML,Day 1,"The event was okay, could have been better."
93,Vihaan Patil,vihaan453@outlook.com,VIT Vellore,Telangana,IoT,Day 3,Networking was amazing!
94,Kiran Reddy,kiran350@gmail.com,VIT Vellore,Maharashtra,Blockchain,Day 1,"Event was decent, but nothing extraordinary."
95,Sanya Singh,sanya813@yahoo.com,BITS Pilani,Tamil Nadu,IoT,Day 3,I expected more from the workshops.
96,Vihaan Reddy,vihaan884@outlook.com,IIT Madras,Tamil Nadu,Cybersecurity,Day 2,The event was too fast-paced and overwhelming.
97,Rohan Reddy,rohan408@gmail.com,Anna University,Telangana,IoT,Day 1,The event was too fast-paced and overwhelming.
